NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Abdoulaye Sané,FC Sochaux,France Ligue 2,ST,Gold,75,86,68,68,75,58,75,186
Abdoulaye Touré,FC Nantes,France Ligue 1,CDM,Gold,75,81,48,68,77,70,73,191
Achraf Hakimi,Borussia Dortmund,Germany 1. Bundesliga,LB,Gold,79,87,50,63,78,80,72,271
Adam Lallana,Liverpool,England Premier League,CM,Gold,79,91,76,75,78,49,74,301
Adam Maher,FC Utrecht,Holland Eredivisie,CM,Gold,76,56,71,78,74,49,61,306
Adam Marušić,Lazio,Italy Serie A,RM,Gold,77,67,76,66,72,38,84,308
Adam Ounas,OGC Nice,France Ligue 1,LM,Gold,75,65,57,67,71,72,81,312
Adam Smith,Bournemouth,England Premier League,RB,Gold,76,71,42,60,63,74,72,319
Adama Soumaoro,LOSC Lille,France Ligue 1,CB,Gold,78,66,68,68,73,80,80,331
Adama Traoré,Wolverhampton Wanderers,England Premier League,RW,Gold,85,57,64,87,83,73,75,333
Adel Taarabt,SL Benfica,Portugal Liga NOS,CAM,Gold,75,77,76,68,76,40,62,342
Adem Ljajić,Beşiktaş,Turkey Süper Lig,CAM,Gold,81,36,38,54,61,81,76,346
Ademola Lookman,RB Leipzig,Germany 1. Bundesliga,RM,Gold,76,54,55,58,63,73,84,348
Adis Jahović,Yeni Malatyaspor,Turkey Süper Lig,ST,Gold,79,85,50,63,70,79,75,357
Admir Mehmedi,VfL Wolfsburg,Germany 1. Bundesliga,CF,Gold,78,82,49,73,78,72,72,361
Adnan Januzaj,Real Sociedad,Spain Primera Division,RW,Gold,79,52,42,63,60,80,76,363
Adrián,CA Osasuna,Spain Primera Division,ST,Gold,76,91,58,69,76,72,71,377
Adrian Mariappa,Watford,England Premier League,CB,Gold,75,83,71,55,73,23,66,400
Adrian Mierzejewski,Chongqing Lifan,China Super League,CAM,Gold,76,76,66,73,75,68,66,401
Adrien Rabiot,Piemonte Calcio,Italy Serie A,CM,Gold,83,74,45,57,67,83,81,412
Adrien Silva,Leicester City,England Premier League,CM,Gold,78,63,72,77,78,60,64,414
Adrien Tameze,OGC Nice,France Ligue 1,CM,Gold,75,71,72,63,69,43,77,415
Adrien Thomasson,RC Strasbourg,France Ligue 1,CM,Gold,76,85,72,73,79,41,65,416
Adrien Trebel,Anderlecht,Belgium Jupiler Pro League,CM,Gold,77,33,59,56,47,76,84,417
Aduriz,Athletic Club de Bilbao,Spain Primera Division,ST,Gold,82,81,78,77,84,44,73,419
Ahmed Hegazi,West Bromwich Albion,England EFL Championship,CB,Gold,75,78,71,76,73,24,69,455
Ainsley Maitland-Niles,Arsenal,England Premier League,RWB,Gold,75,68,74,47,63,36,79,482
Alaixys Romao,Stade de Reims,France Ligue 1,CDM,Gold,75,45,68,72,70,65,77,507
Alan Carvalho,Tianjin Quanjian,China Super League,ST,Gold,78,76,76,53,72,43,76,511
Alan Czerwiński,Zagłębie Lubin,Poland Ekstraklasa,RB,Gold,75,67,66,69,69,72,83,513
Alan Dzagoev,CSKA Moskva,Russia FUT League,CM,Gold,77,76,74,71,77,35,64,516
Alan Franco,Independiente,Argentina Primera División ,CB,Gold,76,74,66,74,80,70,68,518
Alan Kardec,Chongqing Lifan,China Super League,ST,Gold,81,73,75,82,85,66,57,520
Alan Shearer,Icons,Icons,ST,Gold,91,84,90,91,90,45,84,533
Alassane Plea,Borussia M'gladbach,Germany 1. Bundesliga,ST,Gold,84,67,79,80,79,85,86,540
Albert Rusnák,Real Salt Lake,USA Major League Soccer,CAM,Gold,76,46,46,59,60,74,82,547
Alberth Elis,Houston Dynamo,USA Major League Soccer,RM,Gold,75,78,63,72,76,69,69,550
Alberto Grassi,Parma,Italy Serie A,CM,Gold,75,63,49,65,68,74,76,560
Alberto Moreno,Villarreal CF,Spain Primera Division,LB,Gold,76,75,74,54,73,34,74,561
Alberto Paloschi,Spal,Italy Serie A,ST,Gold,75,82,65,68,78,28,48,562
Albin Ekdal,Sampdoria,Italy Serie A,CM,Gold,76,90,66,69,75,59,71,568
Aleñá,FC Barcelona,Spain Primera Division,CM,Gold,76,80,74,65,76,33,63,582
Aleix Vidal,Deportivo Alavés,Spain Primera Division,RB,Gold,76,89,63,68,79,38,52,588
Alejandro Donatti,Racing Club de Avellaneda,Argentina Primera División ,CB,Gold,78,44,72,84,78,63,67,596
Alejandro Gómez,Atalanta,Italy Serie A,CAM,Gold,86,87,75,86,83,82,78,598
Aleksandar Dragović,Bayer 04 Leverkusen,Germany 1. Bundesliga,CB,Gold,77,88,76,71,78,29,63,610
Aleksandar Katai,Chicago Fire,USA Major League Soccer,LM,Gold,75,77,56,69,73,73,71,614
Aleksandar Kolarov,Roma,Italy Serie A,LB,Gold,84,88,79,79,84,47,64,615
Aleksandar Mitrović,Fulham,England EFL Championship,ST,Gold,82,73,84,67,80,40,70,617
Aleksandar Prijović,Al Ittihad,Saudi Dawry Jameel League,ST,Gold,75,70,49,62,67,76,72,623
Alessandro Del Piero,Icons,Icons,CF,Gold,92,83,92,89,92,43,67,644
Alessandro Diamanti,Western United FC,Australia Hyundai A-League,CAM,Gold,76,70,31,48,63,78,69,647
Alessandro Florenzi,Roma,Italy Serie A,RB,Gold,81,79,73,74,81,64,82,648
Alessandro Nesta,Icons,Icons,CB,Gold,92,72,42,65,67,94,86,652
Alessandro Schöpf,FC Schalke 04,Germany 1. Bundesliga,RM,Gold,77,57,33,38,55,79,79,658
Alessio Romagnoli,Milan,Italy Serie A,CB,Gold,86,83,74,83,83,86,84,668
Alex Berenguer,Torino,Italy Serie A,LM,Gold,77,82,74,68,83,28,61,674
Alex Iwobi,Everton,England Premier League,LM,Gold,79,62,67,75,84,54,45,693
Alex Král,Spartak Moskva,Russia FUT League,CDM,Gold,80,64,38,50,60,81,83,697
Alex Oxlade-Chamberlain,Liverpool,England Premier League,CM,Gold,85,98,80,78,87,42,83,705
Alex Sandro,Piemonte Calcio,Italy Serie A,LB,Gold,85,83,45,62,64,85,80,718
Alex Teixeira,Jiangsu Suning,China Super League,ST,Gold,79,81,71,75,82,65,67,722
Alex Telles,FC Porto,Portugal Liga NOS,LB,Gold,86,86,63,79,80,82,76,723
Alexander Barboza,Independiente,Argentina Primera División ,CB,Gold,76,78,69,75,78,50,57,734
Alexander Djiku,RC Strasbourg,France Ligue 1,CB,Gold,77,77,78,64,78,43,69,742
Alexander Ring,New York City FC,USA Major League Soccer,CDM,Gold,75,82,70,71,75,43,70,767
Alexander Szymanowski,CD Leganés,Spain Primera Division,LM,Gold,76,71,40,60,66,74,85,776
Alexandr Golovin,AS Monaco,France Ligue 1,CM,Gold,82,77,73,74,75,83,82,779
Alexandre Lacazette,Arsenal,England Premier League,ST,Gold,86,72,83,79,78,55,71,786
Alexandru Epureanu,Medipol Başakşehir,Turkey Süper Lig,CB,Gold,75,53,61,68,69,72,79,799
Alexandru Ionuț Mitriță,New York City FC,USA Major League Soccer,LW,Gold,81,82,73,79,81,58,69,802
Alexey Miranchuk,Lokomotiv Moskva,Russia FUT League,CAM,Gold,78,70,79,69,73,39,81,814
Alexis Mac Allister,Buenos Aires,Argentina Primera División ,CAM,Gold,76,68,59,67,71,73,77,828
Alexis Sánchez,Inter,Italy Serie A,LW,Gold,82,72,43,67,64,82,78,835
Alfa Semedo,Nottingham Forest,England EFL Championship,CDM,Gold,75,65,32,45,45,76,77,843
Alfreð Finnbogason,FC Augsburg,Germany 1. Bundesliga,ST,Gold,78,76,80,69,77,40,68,855
Alfred Duncan,Sassuolo,Italy Serie A,CM,Gold,75,68,68,74,75,70,75,856
Alfredo Donnarumma,Brescia,Italy Serie A,ST,Gold,75,70,71,72,71,71,72,860
Alfredo Morelos,Rangers,Scotland Premiership,ST,Gold,75,68,73,70,79,49,66,862
Alhassan Wakaso,Vitória Guimarães,Portugal Liga NOS,CDM,Gold,76,66,51,55,62,76,79,866
Ali Adnan,Vancouver Whitecaps,USA Major League Soccer,LB,Gold,75,82,48,67,69,71,79,870
Alireza Jahanbakhsh,Brighton & Hove Albion,England Premier League,RW,Gold,75,63,69,74,78,55,50,895
Allan,Napoli,Italy Serie A,CM,Gold,86,68,61,67,70,85,85,900
Allan Saint-Maximin,Newcastle United,England Premier League,RW,Gold,79,57,66,70,70,79,84,906
Alper Potuk,Fenerbahçe,Turkey Süper Lig,CAM,Gold,75,74,65,72,76,73,70,919
Amadou Diawara,Roma,Italy Serie A,CM,Gold,75,62,67,72,70,71,70,931
Amadou Haidara,RB Leipzig,Germany 1. Bundesliga,CM,Gold,76,75,71,73,75,69,70,932
Amath Ndiaye,Getafe CF,Spain Primera Division,LM,Gold,76,65,28,44,50,77,72,942
Ömer Ali Şahiner,Atiker Konyaspor,Turkey Süper Lig,RM,Gold,75,84,61,69,76,71,78,948
Ömer Toprak,Werder Bremen,Germany 1. Bundesliga,CB,Gold,79,65,46,59,60,79,75,953
Amin Younes,Napoli,Italy Serie A,LM,Gold,77,63,51,50,62,77,72,959
Amine Harit,FC Schalke 04,Germany 1. Bundesliga,CAM,Gold,86,90,80,83,87,40,56,963
Amir Rrahmani,Hellas Verona,Italy Serie A,CB,Gold,78,87,73,71,83,43,66,971
Ander Herrera,Paris Saint-Germain,France Ligue 1,CM,Gold,82,54,43,55,60,83,85,994
Anderson Talisca,Guangzhou Evergrande Taobao,China Super League,CAM,Gold,83,80,62,82,78,78,70,1014
André Almeida,SL Benfica,Portugal Liga NOS,RB,Gold,81,80,65,78,87,70,78,1016
André André,Vitória Guimarães,Portugal Liga NOS,CM,Gold,77,64,73,76,76,52,71,1018
André Ayew,Swansea City,England EFL Championship,RM,Gold,76,57,73,76,76,71,66,1019
André Carrillo,Al Hilal,Saudi Dawry Jameel League,RM,Gold,78,69,58,66,64,80,75,1021
André Gomes,Everton,England Premier League,CDM,Gold,80,62,49,58,62,81,74,1024
André Ramalho,Red Bull Salzburg,Austria Bundesliga,CB,Gold,75,62,62,75,76,66,81,1038
André Schürrle,Spartak Moskva,Russia FUT League,LW,Gold,76,74,62,76,78,65,67,1043
André Silva,Eintracht Frankfurt,Germany 1. Bundesliga,ST,Gold,79,93,70,71,84,29,63,1044
André Simões,AEK Athens,Greece A'Ethniki,CDM,Gold,75,74,71,73,80,38,61,1045
André-Pierre Gignac,Tigres U.A.N.L.,Mexico Liga MX,ST,Gold,80,53,65,62,61,81,71,1050
Andrés Felipe Roa,Independiente,Argentina Primera División ,CAM,Gold,75,57,68,73,72,67,77,1065
Andrés Guardado,Real Betis Balompié,Spain Primera Division,CM,Gold,81,66,73,79,77,79,79,1067
Andre Gray,Watford,England Premier League,ST,Gold,76,47,60,66,66,75,74,1084
Andrea Belotti,Torino,Italy Serie A,ST,Gold,82,61,82,64,76,49,74,1092
Andrea Conti,Milan,Italy Serie A,RM,Gold,75,74,62,76,76,71,76,1098
Andrea Masiello,Atalanta,Italy Serie A,CB,Gold,78,77,74,77,80,40,67,1105
Andrea Petagna,Spal,Italy Serie A,ST,Gold,77,70,63,75,78,66,69,1109
Andrea Pirlo,Icons,Icons,CM,Gold,92,90,86,92,94,41,67,1111
Andrea Poli,Bologna,Italy Serie A,CM,Gold,77,69,67,77,78,40,62,1113
Andrea Ranocchia,Inter,Italy Serie A,CB,Gold,75,71,68,74,76,46,53,1114
Andreas Christensen,Chelsea,England Premier League,CB,Gold,80,77,62,74,79,80,75,1126
Andreas Cornelius,Parma,Italy Serie A,ST,Gold,80,65,64,72,72,83,77,1128
Andreas Granqvist,Helsingborgs IF,Sweden Allsvenskan,CB,Gold,78,76,53,70,76,76,70,1132
Andreas Pereira,Manchester United,England Premier League,CM,Gold,77,71,55,77,75,74,72,1143
Andreas Samaris,SL Benfica,Portugal Liga NOS,CDM,Gold,79,77,59,73,76,77,76,1145
Andrej Kramarić,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,83,91,67,75,82,77,83,1177
Andrew Robertson,Liverpool,England Premier League,LB,Gold,86,83,81,82,83,77,81,1189
Andrew Surman,Bournemouth,England Premier League,CM,Gold,75,34,77,73,75,37,64,1195
Andrija Živković,SL Benfica,Portugal Liga NOS,RM,Gold,76,65,44,62,69,76,73,1202
Andriy Shevchenko,Icons,Icons,ST,Gold,91,91,86,88,92,36,79,1209
Andriy Yarmolenko,West Ham United,England Premier League,RM,Gold,79,83,79,71,80,36,73,1211
Andros Townsend,Crystal Palace,England Premier League,RM,Gold,78,71,34,62,69,78,75,1212
Andy Carroll,Newcastle United,England Premier League,ST,Gold,75,68,76,65,78,30,64,1217
Andy Delort,Montpellier HSC,France Ligue 1,ST,Gold,78,70,50,51,62,78,77,1220
Angeliño,Manchester City,England Premier League,LB,Gold,82,73,72,75,76,83,85,1237
Angelo Fulgini,Angers SCO,France Ligue 1,RM,Gold,75,56,38,41,58,73,78,1242
Angelo Ogbonna,West Ham United,England Premier League,CB,Gold,77,68,67,77,80,43,61,1244
Ante Rebić,Milan,Italy Serie A,ST,Gold,80,76,66,78,80,74,69,1258
Anthony Briançon,Nîmes Olympique,France Ligue 1,CB,Gold,76,64,55,72,70,75,77,1261
Anthony Knockaert,Fulham,England EFL Championship,RW,Gold,76,37,45,58,48,77,65,1273
Anthony Martial,Manchester United,England Premier League,LW,Gold,85,86,75,83,78,80,74,1279
Anthony Modeste,1. FC Köln,Germany 1. Bundesliga,ST,Gold,79,80,64,71,74,78,81,1282
Anthony Nwakaeme,Trabzonspor,Turkey Süper Lig,LM,Gold,76,77,71,70,78,49,59,1283
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold,90,75,82,92,83,72,80,1297
Anton Miranchuk,Lokomotiv Moskva,Russia FUT League,CAM,Gold,77,79,75,69,77,41,74,1306
Antonín Barák,Udinese,Italy Serie A,CM,Gold,77,77,74,75,80,69,65,1313
Antonio Candreva,Inter,Italy Serie A,RM,Gold,79,76,75,75,81,60,77,1326
Antonio Rüdiger,Chelsea,England Premier League,CB,Gold,82,70,72,78,80,82,77,1341
Antonio Sanabria,Genoa,Italy Serie A,ST,Gold,77,62,59,74,73,75,74,1344
Antunes,Getafe CF,Spain Primera Division,LB,Gold,80,54,40,59,63,80,78,1348
Anuar,Real Valladolid,Spain Primera Division,CDM,Gold,75,45,33,53,49,76,72,1349
Arbër Zeneli,Stade de Reims,France Ligue 1,LM,Gold,75,87,67,68,75,64,62,1357
Arbilla,SD Eibar,Spain Primera Division,CB,Gold,77,76,48,67,73,73,75,1359
Arda Turan,Medipol Başakşehir,Turkey Süper Lig,LM,Gold,76,58,37,60,65,78,70,1362
Arijan Ademi,Dinamo Zagreb,Croatia PRva HNL,CDM,Gold,75,77,62,73,79,34,58,1375
Aritz Elustondo,Real Sociedad,Spain Primera Division,CB,Gold,77,83,71,71,81,64,70,1380
Arkadiusz Milik,Napoli,Italy Serie A,ST,Gold,83,72,81,62,76,51,82,1384
Armando Izzo,Torino,Italy Serie A,CB,Gold,81,64,51,59,56,78,83,1390
Arnaut Danjuma Groene...,Bournemouth,England Premier League,LM,Gold,76,60,44,61,57,75,76,1404
Arne Maier,Hertha BSC,Germany 1. Bundesliga,CM,Gold,76,69,72,75,78,34,62,1406
Arthur,FC Barcelona,Spain Primera Division,CM,Gold,84,84,78,79,84,44,65,1423
Arthur Masuaku,West Ham United,England Premier League,LB,Gold,76,83,55,71,76,69,73,1426
Artur Ioniță,Cagliari,Italy Serie A,CM,Gold,75,57,58,67,69,72,69,1432
Arturo Vidal,FC Barcelona,Spain Primera Division,CM,Gold,84,94,73,79,91,43,61,1438
Ashley Barnes,Burnley,England Premier League,ST,Gold,78,74,77,66,73,37,68,1447
Ashley Westwood,Burnley,England Premier League,CM,Gold,77,72,67,78,78,65,58,1455
Ashley Young,Manchester United,England Premier League,RB,Gold,77,57,56,68,66,77,80,1456
Atiba Hutchinson,Beşiktaş,Turkey Süper Lig,CDM,Gold,76,81,42,70,71,73,74,1471
Augusto Fernández,Beijing Renhe,China Super League,CM,Gold,79,84,78,73,81,42,62,1482
Augusto Solari,Racing Club de Avellaneda,Argentina Primera División ,RM,Gold,75,69,39,55,52,74,77,1484
Avilés Hurtado,Monterrey,Mexico Liga MX,ST,Gold,75,75,63,72,77,40,57,1494
Axel Witsel,Borussia Dortmund,Germany 1. Bundesliga,CDM,Gold,85,91,87,82,82,58,76,1508
Aymeric Laporte,Manchester City,England Premier League,CB,Gold,87,62,72,75,72,85,89,1518
Ayoze Pérez,Leicester City,England Premier League,RW,Gold,82,51,50,55,53,83,84,1524
Azpilicueta,Chelsea,England Premier League,RB,Gold,84,72,51,61,62,83,84,1546
Ştefan Radu,Lazio,Italy Serie A,CB,Gold,80,73,77,81,77,76,75,1547
Badou Ndiaye,Stoke City,England EFL Championship,CM,Gold,76,67,74,62,71,39,76,1563
Bafétimbi Gomis,Al Hilal,Saudi Dawry Jameel League,ST,Gold,81,56,78,80,80,58,72,1569
Baptiste Santamaria,Angers SCO,France Ligue 1,CDM,Gold,78,78,75,60,76,43,81,1590
Barragán,Real Betis Balompié,Spain Primera Division,RB,Gold,75,76,55,68,71,74,70,1594
Bartra,Real Betis Balompié,Spain Primera Division,CB,Gold,83,77,78,82,84,65,72,1619
Bas Dost,Eintracht Frankfurt,Germany 1. Bundesliga,ST,Gold,82,70,72,78,80,82,77,1620
Bastian Oczipka,FC Schalke 04,Germany 1. Bundesliga,LWB,Gold,75,52,77,57,68,37,69,1628
Bastian Schweinsteiger,Chicago Fire,USA Major League Soccer,CM,Gold,88,83,82,84,90,43,64,1629
Bastos,Lazio,Italy Serie A,CB,Gold,78,72,70,76,79,57,51,1632
Beñat,Athletic Club de Bilbao,Spain Primera Division,CM,Gold,81,80,65,78,87,70,78,1636
Ben Chilwell,Leicester City,England Premier League,LB,Gold,82,73,84,67,80,40,70,1645
Ben Davies,Tottenham Hotspur,England Premier League,LB,Gold,79,76,64,75,80,78,73,1649
Ben Mee,Burnley,England Premier League,CB,Gold,78,70,77,64,75,31,59,1663
Ben Pearson,Preston North End,England EFL Championship,CDM,Gold,75,67,69,76,77,43,49,1669
Benedikt Höwedes,Lokomotiv Moskva,Russia FUT League,CB,Gold,81,87,73,73,87,36,65,1695
Benito Raman,FC Schalke 04,Germany 1. Bundesliga,LM,Gold,76,76,55,68,71,74,70,1707
Benjamin André,LOSC Lille,France Ligue 1,CM,Gold,78,65,78,58,62,32,74,1712
Benjamin Bourigeaud,Stade Rennais,France Ligue 1,LM,Gold,77,53,49,66,58,79,77,1714
Benjamin Hübner,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,78,39,38,49,52,80,74,1718
Benjamin Henrichs,AS Monaco,France Ligue 1,RB,Gold,75,64,75,54,66,25,72,1721
Benjamin Mendy,Manchester City,England Premier League,LB,Gold,80,71,67,81,79,72,74,1728
Benjamin Pavard,Bayern München,Germany 1. Bundesliga,CB,Gold,79,82,80,61,73,45,80,1731
Benjamin Stambouli,FC Schalke 04,Germany 1. Bundesliga,CB,Gold,78,75,73,75,76,55,67,1734
Benjamin Verbič,Dynamo Kyiv,Ukraine Premier Liga,LM,Gold,78,83,75,75,80,31,54,1738
Bernard,Everton,England Premier League,LM,Gold,84,68,80,84,85,41,71,1755
Bernardo,Brighton & Hove Albion,England Premier League,LB,Gold,75,85,70,69,80,35,59,1761
Bernardo Espinosa,RCD Espanyol,Spain Primera Division,CB,Gold,81,78,76,78,82,55,66,1763
Bernardo Silva,Manchester City,England Premier League,RW,Gold,87,63,63,74,73,87,79,1766
Bernat,Paris Saint-Germain,France Ligue 1,LB,Gold,80,78,77,81,81,36,62,1768
Bertrand Traoré,Olympique Lyonnais,France Ligue 1,RW,Gold,78,69,80,62,75,36,66,1776
Björn Engels,Aston Villa,England Premier League,CB,Gold,76,84,77,73,80,37,55,1810
Blaise Matuidi,Piemonte Calcio,Italy Serie A,CDM,Gold,85,55,86,87,86,50,63,1820
Blerim Džemaili,Bologna,Italy Serie A,CM,Gold,76,60,65,72,73,71,75,1824
Bořek Dočkal,Sparta Praha,Czech Republic HET Liga,CAM,Gold,76,74,74,72,78,45,69,1828
Bobby Moore,Icons,Icons,CB,Gold,92,68,64,83,78,93,85,1832
Borja Bastón,Swansea City,England EFL Championship,ST,Gold,75,85,73,61,70,36,76,1856
Borja García,Girona FC,Spain Segunda A,LM,Gold,75,74,62,68,72,71,80,1859
Borja Iglesias,Real Betis Balompié,Spain Primera Division,ST,Gold,83,83,76,82,85,59,67,1861
Borja Mayoral,Levante UD,Spain Primera Division,ST,Gold,77,72,71,75,79,27,49,1866
Borja Valero,Inter,Italy Serie A,CAM,Gold,79,73,49,69,73,77,77,1868
Borja Valle,RC Deportivo,Spain Segunda A,ST,Gold,75,86,73,66,77,18,66,1870
Boubacar Kamara,Olympique de Marseille,France Ligue 1,CB,Gold,75,52,65,75,70,66,66,1879
Bouna Sarr,Olympique de Marseille,France Ligue 1,RB,Gold,75,32,40,48,49,76,65,1882
Bradley Wright-Phillips,New York Red Bulls,USA Major League Soccer,ST,Gold,77,74,77,66,73,37,68,1895
Brais Méndez,RC Celta de Vigo,Spain Primera Division,RM,Gold,77,76,36,59,62,75,80,1903
Brandon Mechele,Club Brugge,Belgium Jupiler Pro League,CB,Gold,77,71,64,68,72,74,80,1917
Breel Embolo,Borussia M'gladbach,Germany 1. Bundesliga,ST,Gold,76,64,46,58,67,77,77,1946
Brian Fernández,Portland Timbers,USA Major League Soccer,ST,Gold,77,62,67,74,73,73,77,1964
Bruma,PSV,Holland Eredivisie,LW,Gold,78,71,33,55,58,77,78,1991
Bruno,Villarreal CF,Spain Primera Division,CM,Gold,78,85,70,74,80,42,64,1992
Bruno Bianchi,Atlético Tucumán,Argentina Primera División ,CB,Gold,75,93,71,67,75,38,63,1998
Bruno Fernandes,Sporting CP,Portugal Liga NOS,CAM,Gold,85,89,78,81,86,39,55,2001
Bruno Tabata,Portimonense,Portugal Liga NOS,RW,Gold,75,79,76,72,74,40,49,2019
Bruno Viana,Braga,Portugal Liga NOS,CB,Gold,78,68,47,65,70,77,84,2023
Bruno Zuculini,Núñez,Argentina Primera División ,CDM,Gold,75,51,41,46,40,75,81,2026
Bryan Cristante,Roma,Italy Serie A,CM,Gold,78,62,77,55,70,27,83,2033
Burak Yılmaz,Beşiktaş,Turkey Süper Lig,ST,Gold,79,36,52,67,64,80,76,2060
Bustinza,CD Leganés,Spain Primera Division,CB,Gold,76,75,72,65,78,44,67,2062
Cédric,Southampton,England Premier League,RB,Gold,76,64,44,62,61,75,81,2066
Cédric Bakambu,Beijing Sinobo Guoan,China Super League,ST,Gold,82,71,73,76,88,65,66,2068
Córdoba,Athletic Club de Bilbao,Spain Primera Division,LW,Gold,77,78,75,63,74,50,78,2090
Caio,SL Benfica,Portugal Liga NOS,LM,Gold,76,79,70,73,76,71,77,2098
Calero,RCD Espanyol,Spain Primera Division,CB,Gold,78,75,55,70,74,77,76,2107
Callum McGregor,Celtic,Scotland Premiership,CDM,Gold,76,75,72,75,78,47,60,2125
Callum Wilson,Bournemouth,England Premier League,ST,Gold,80,52,71,74,73,78,77,2137
Calum Chambers,Arsenal,England Premier League,CDM,Gold,75,74,39,63,67,73,74,2139
Calvin Stengs,AZ,Holland Eredivisie,CAM,Gold,81,83,82,74,79,35,73,2143
Camacho,VfL Wolfsburg,Germany 1. Bundesliga,CDM,Gold,78,76,58,70,86,37,56,2148
Camarasa,Crystal Palace,England Premier League,CM,Gold,76,73,74,74,78,36,57,2149
Camillo Ciano,Frosinone,Italy Serie B,ST,Gold,80,69,66,72,72,80,80,2163
Campaña,Levante UD,Spain Primera Division,CM,Gold,80,64,64,65,68,83,69,2177
Canales,Real Betis Balompié,Spain Primera Division,CAM,Gold,84,81,82,75,78,50,83,2181
Caner Erkin,Beşiktaş,Turkey Süper Lig,LB,Gold,75,89,63,68,79,38,52,2184
Capa,Athletic Club de Bilbao,Spain Primera Division,RB,Gold,82,82,82,71,81,30,71,2194
Carles Gil,New England Revolution,USA Major League Soccer,CAM,Gold,75,62,43,58,60,75,77,2204
Carles Puyol,Icons,Icons,CB,Gold,92,70,45,68,58,94,90,2206
